word,cefr_level,difficulty_level
exaggerate,C1,6.6
excellence,C1,6.1
exceptional,C1,7.1
excess,C1,7.0
exclusion,C1,7.3
exclusive,C1,6.8
execute,C1,7.1
exert,C1,7.5
exile,C1,7.2
expenditure,C1,7.3
experimental,C1,7.0
expire,C1,7.4
explicit,C1,6.1
exploitation,C1,6.2
explosive,C1,7.1
extract,C1,7.1
extremist,C1,6.4
facilitate,C1,7.1
faction,C1,6.2
fade,C1,7.2
fairness,C1,7.2
fatal,C1,7.1
fate,C1,6.9
favorable,C1,7.2
feat,C1,6.3
felony,C1,6.5
feminist,C1,6.0
fiber,C1,7.1
fierce,C1,7.2
filmmaker,C1,6.6
filter,C1,7.0
fine,C1,6.4
firearm,C1,6.6
fiscal,C1,6.2
fit,C1,6.6
flaw,C1,7.3
flawed,C1,6.3
flee,C1,6.5
fleet,C1,6.9
flesh,C1,7.0
flexibility,C1,7.1
flourish,C1,7.4
fluid,C1,7.0
footage,C1,5.9
foreigner,C1,6.4
forge,C1,7.2
formula,C1,6.9
formulate,C1,7.5
forth,C1,6.9
forthcoming,C1,7.3
foster,C1,6.9
fragile,C1,7.2
franchise,C1,7.0
frankly,C1,6.3
freshman,C1,7.1
frustrate,C1,6.7
functional,C1,7.0
fundraising,C1,6.5
funeral,C1,6.1
gambling,C1,7.1
gathering,C1,7.0
gaze,C1,6.3
gear,C1,6.8
generic,C1,7.0
genocide,C1,6.4
gig,C1,7.1
glance,C1,7.2
glimpse,C1,7.2
glorious,C1,7.1
glory,C1,6.9
governance,C1,6.1
grace,C1,6.8
grasp,C1,7.1
grave,C1,6.9
gravity,C1,7.0
grid,C1,7.0
grief,C1,6.1
grin,C1,6.3
grind,C1,7.2
grip,C1,7.0
gross,C1,6.9
guerrilla,C1,6.8
guidance,C1,6.9
guilt,C1,6.0
gut,C1,7.1
hail,C1,7.2
halfway,C1,7.1
halt,C1,7.2
handful,C1,6.0
handling,C1,6.9
handy,C1,7.1
harassment,C1,6.1
hardware,C1,6.9
harmony,C1,7.0
harsh,C1,7.0
harvest,C1,7.1
hatred,C1,6.3
haunt,C1,7.4
hazard,C1,7.1
heighten,C1,7.8
heritage,C1,6.9
hierarchy,C1,6.2
high-profile,C1,5.8
hint,C1,7.1
homeland,C1,6.4
hook,C1,6.9
hopeful,C1,7.2
horizon,C1,7.1
horn,C1,7.0
hostage,C1,6.4
hostile,C1,7.1
hostility,C1,7.3
humanitarian,C1,7.2
humanity,C1,6.9
humble,C1,7.0
hydrogen,C1,6.4
identification,C1,7.0
ideological,C1,6.2
ideology,C1,6.1
idiot,C1,6.1
ignorance,C1,6.3
imagery,C1,6.5
immense,C1,6.4
imminent,C1,6.6
implementation,C1,5.9
imprison,C1,6.8
inability,C1,6.2
inadequate,C1,6.2
inappropriate,C1,6.1
incarcerate,C1,7.6
incidence,C1,6.3
inclined,C1,7.2
inclusion,C1,7.1
incur,C1,6.5
indicator,C1,7.2
indictment,C1,6.3
indigenous,C1,6.2
induce,C1,7.4
indulge,C1,7.4
inequality,C1,6.4
infamous,C1,6.5
infant,C1,6.3
infect,C1,7.5
inflict,C1,6.8
influential,C1,6.3
inherent,C1,6.2
inhibit,C1,7.5
initiate,C1,7.3
inject,C1,7.4
injustice,C1,6.2
inmate,C1,7.4
inquire,C1,7.5
insertion,C1,6.5
insider,C1,6.5
inspect,C1,7.3
inspiration,C1,6.9
instinct,C1,6.2
institutional,C1,6.1
instruct,C1,7.5
instrumental,C1,6.1
insufficient,C1,6.5
insult,C1,7.1
intact,C1,7.1
intake,C1,7.1
integral,C1,7.1
integrate,C1,7.3
integrity,C1,6.0
intellectual,C1,6.9
intensify,C1,7.6
intensity,C1,7.0
intensive,C1,7.1
intent,C1,7.0
interactive,C1,6.1
interface,C1,7.0
interfere,C1,6.2
interim,C1,6.1
interior,C1,6.8
intermediate,C1,7.1
intersection,C1,7.2
intervene,C1,7.3
intimate,C1,7.1
intriguing,C1,7.3
inventory,C1,7.0
investigator,C1,7.2
invisible,C1,6.1
invoke,C1,7.5
involvement,C1,6.9
ironic,C1,6.2
irony,C1,7.2
irrelevant,C1,6.4
isolation,C1,7.1
judicial,C1,7.0
jurisdiction,C1,6.1
just,C1,5.7
justification,C1,7.2
keen,C1,7.0
kidnap,C1,6.7
kidney,C1,6.3
kingdom,C1,6.8
landlord,C1,6.4
landmark,C1,7.2
lap,C1,7.0
large-scale,C1,5.7
laser,C1,6.2
latter,C1,5.8
lawmaker,C1,7.0
lawn,C1,6.4
lawsuit,C1,6.3
layout,C1,6.1
leak,C1,7.1
leap,C1,7.2
legacy,C1,6.1
legendary,C1,6.0
legislation,C1,5.8
legislative,C1,5.9
legislature,C1,6.2
legitimate,C1,7.0
lengthy,C1,6.5
lesbian,C1,7.0
lesser,C1,7.0
lethal,C1,6.4
liable,C1,7.2
liberal,C1,6.7
liberation,C1,7.2
liberty,C1,6.9
lifelong,C1,6.5
likelihood,C1,6.4
limb,C1,7.3
linear,C1,7.0
lineup,C1,6.1
linger,C1,7.5
listing,C1,6.9
liter,C1,6.7
literacy,C1,6.4
liver,C1,7.0
lobby,C1,7.1
log,C1,6.9
logic,C1,6.9
long-standing,C1,5.8
longtime,C1,6.5
loom,C1,7.5
loop,C1,7.0
loyalty,C1,7.0
machinery,C1,6.1
magical,C1,6.2
magnetic,C1,7.0
magnificent,C1,6.3
magnitude,C1,7.1
